# kappa_CO Color Extended Emission_line_flux
-1.743619944131486132e+00 -2.373612041406544915e+00 -2.454720636939835068e-02 9.816045140053995116e-03
3.892109410972017236e-01 5.045378604717786208e-01 -1.466436191547778045e-01 1.148501315841439496e-02
-7.841859689531576194e-01 -5.827186788569370668e-01 -2.289978248274220085e-01 8.021669357006733572e-03
1.433436602163350448e-01 -1.559845991597993642e+00 -1.865467120523144895e-01 7.486495292493840908e-03
-1.231481095740417420e+00 -1.175755790626187292e+00 -1.497467442684925487e-01 2.176908773860222399e-03
-4.620081679550952503e-01 -8.795752539543473525e-02 -2.125487265515311475e-01 1.235231554315369042e-03
1.022183614822790854e-01 9.245935326898752082e-01 3.146669445535827531e-02 9.556103980748301835e-03
8.418146613753435537e-01 1.343418657277119621e+00 -2.398728526686181584e-01 1.858124995659163683e-02
5.062811981841759401e-01 -6.004448725955483512e-01 -2.317476295516234241e-01 9.182932707597847924e-03
-5.527062830332145626e-01 -6.289808466274942056e-01 1.777735582937949310e-01 9.560393347783453441e-03
-1.129617762358137156e+00 -1.811528408449829985e+00 -1.700740051620296400e-01 7.892732715335012972e-03
-1.531434669614142985e+00 1.399571511213735797e-01 2.495696149697518296e-02 2.393717325705478280e-03
-1.414610667925717991e+00 -1.774403479152509844e+00 -1.068378534201242097e-01 5.997543005629824876e-03
9.778829412888406791e-01 -2.905562097204318350e-01 -2.548392252195225693e-01 1.180519938408846475e-02
-1.215587579428052845e+00 -3.629224874507034349e-01 -1.240832852083624954e-01 1.225332531821641396e-03
-2.895119439091157765e-01 -1.244754458545649922e-01 -1.885006802390951364e-01 9.806750216084885591e-03
1.239213356619535578e+00 -2.800600484327718243e-01 -1.618947630902137780e-01 2.363178215246715397e-02
1.424833892693178283e+00 3.867019983849370734e-01 -2.288645012482704022e-01 1.830173704267546234e-02
-4.270665191243440129e-01 -1.357823429590112374e+00 -2.198083636492676463e-01 1.993596421365098886e-03
-1.672508335132858237e+00 -6.616486294991794637e-01 1.676821223345910938e-01 8.545738432628497902e-03
9.207358493457715731e-01 1.959168970630505324e+00 -2.221385372920811341e-01 1.688925908106241047e-02
2.251386648395611589e-01 -4.998861258238567751e-01 -7.676434517144670178e-02 1.421026027054352742e-02
-1.072337255970752690e+00 8.042539318594818520e-02 -2.420536199140500555e-01 7.452739024501518761e-03
8.548648670914421599e-01 1.066600145069856592e-01 -2.416166990817134042e-01 1.031358127873671475e-02
-1.114160186702916333e-01 -1.945575355251749627e-01 2.487375079865999233e-02 -5.549409053804925385e-02
9.180040174573694811e-01 8.550220247153107467e-01 -2.366216203406263097e-01 -1.851546057016535338e-02
1.067534141780359658e+00 -2.153843459023005447e-01 -2.513759105375744096e-01 -4.679758957550136239e-02
-2.653982993327627660e-02 -8.313567474546349270e-03 -1.999155905517629728e-01 8.738910715730473927e-03
1.244116355852442846e+00 -1.793862367354725817e+00 -2.491548660372200352e-01 1.878288369141780517e-02
1.631119177366906259e+00 -6.303636914895577315e-01 -2.479275916542083846e-01 1.826788197622686641e-02
1.421841220363101232e+00 2.481998459850513594e+00 -2.485787855515546318e-01 1.557022859542845326e-02
3.051609258927966972e-01 -2.999512357453008038e-01 -4.695414059123388661e-02 1.460560015258069617e-02
-8.657001933821689699e-01 -1.927242777133804985e+00 -2.159084724654716236e-01 1.011003030953894904e-02
-1.180808659705017583e+00 -2.778914349905339254e-01 -2.164511848343120548e-01 5.220282298565563465e-03
-5.942666480397222895e-01 -1.680432419028079272e+00 -2.268618098259503613e-01 9.150775082502223684e-03
5.542117701276342290e-01 6.622103803875667438e-01 -2.540742220093517023e-01 7.051706814536590553e-03
-1.172173773131351293e+00 -2.131700965480710641e-01 2.273881186883706995e+00 4.462258097829605724e-03
